npi,name,state,pecos_provider_type,pecos_codes,pecos_resolved_nucc,nppes_nucc,bh_codes_on_nppes,nppes_lookup_url
1306367479,"MYERS, BRADLEY",AK,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,101Y00000X,101Y00000X,https://npiregistry.cms.hhs.gov/provider-view/1306367479
1528490893,"WELCH, JAMES",AK,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",101Y00000X,101Y00000X,https://npiregistry.cms.hhs.gov/provider-view/1528490893
1619246386,"HICKS, ZACHARY",AK,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,101YM0800X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1619246386
1891911673,CHRISTIAN HEALTH ASSOCIATES,AK,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",101YM0800X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1891911673
1013254689,"MCGOWAN, LASHANDA",AK,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,101YM0800X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1013254689
1457621914,NEUROBEHAVIOR NORTH INC,AK,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X","101Y00000X,103G00000X","101Y00000X,103G00000X",https://npiregistry.cms.hhs.gov/provider-view/1457621914
1285764001,SITKA COUNSELING & PREVENTION SERVICES INC,AK,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X","101Y00000X,251B00000X,251S00000X",101Y00000X,https://npiregistry.cms.hhs.gov/provider-view/1285764001
1477682623,COUNSELING SOLUTIONS OF ALASKA LLC,AK,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X","103TC0700X,1041C0700X,106H00000X,2084P0800X,261QM0801X+1","103TC0700X,1041C0700X,106H00000X",https://npiregistry.cms.hhs.gov/provider-view/1477682623
1326152711,"FULLER DIAGNOSTICS, LLC",AK,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X","103G00000X,103T00000X,103TB0200X,103TC0700X,103TC2200X+4","103G00000X,103T00000X,103TB0200X,103TC0700X,103TC2200X,103TF0200X,103TM1800X,103TP2701X,1041C0700X",https://npiregistry.cms.hhs.gov/provider-view/1326152711
1588135776,KENAI PENINSULA MENTAL HEALTH LLC,AK,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",101YP2500X,101YP2500X,https://npiregistry.cms.hhs.gov/provider-view/1588135776
1831502822,"WCHS, INC.",AK,PART B SUPPLIER - OPIOID TREATMENT PROGRAM (OTP),12-D5,261QR0405X,"101YA0400X,261QM2800X",101YA0400X,https://npiregistry.cms.hhs.gov/provider-view/1831502822
1811395247,"WALKER, KATHERINE",AK,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,101YM0800X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1811395247
1487131405,"LOVEJOY, AMY",AK,PRACTITIONER - PHYSICAL THERAPIST IN PRIVATE PRACTICE,14-65,"225100000X,2251C2600X,2251E1200X,2251E1300X,2251G0304X+6",101YM0800X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1487131405
1508121096,BOREALIS BEHAVIORAL HEALTH,AK,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X","106H00000X,363LP0808X",106H00000X,https://npiregistry.cms.hhs.gov/provider-view/1508121096
1821180456,"CANNAVA, JOSEPH",AK,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",101Y00000X,101Y00000X,https://npiregistry.cms.hhs.gov/provider-view/1821180456
1508318585,"RODRIGUEZ, ELIZABETH",AK,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",101YA0400X,101YA0400X,https://npiregistry.cms.hhs.gov/provider-view/1508318585
1194055400,"COLLIS, LARA",AK,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",101Y00000X,101Y00000X,https://npiregistry.cms.hhs.gov/provider-view/1194055400
1407345689,"PAYNE, MALADEAN",AK,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",101Y00000X,101Y00000X,https://npiregistry.cms.hhs.gov/provider-view/1407345689
