npi,name,state,deactivation_date,ndh_active_flag,billing_sources_post_deactivation,medicaid_post_deactivation_paid,medicaid_post_deactivation_claims,medicaid_first_claim_month,medicaid_last_claim_month,partb_2023_paid,partb_2023_services,partd_2023_drug_cost,partd_2023_opioid_claims,partd_2023_opioid_cost,nppes_lookup_url
1760572614,"FINKLESTEIN, JERRY",CA,2016-12-28,false,medicaid,590654.95,22839,2018-01,2020-02,0,0,0,0,0,https://npiregistry.cms.hhs.gov/provider-view/1760572614
1477934909,"QUE, HOWIE",CA,2016-06-02,true,medicaid|medicare_partb|medicare_partd,127446.99,3202,2021-07,2024-11,116116.13,1114,136473.14,0,0.0,https://npiregistry.cms.hhs.gov/provider-view/1477934909
1396118733,"GOMEZ, ANA",CA,2018-04-03,true,medicaid|medicare_partd,233056.35,1509,2022-02,2024-11,0,0,31807.63,0,0.0,https://npiregistry.cms.hhs.gov/provider-view/1396118733
1962808402,"CURRY, LAURA",CA,2019-03-15,true,medicaid,215200.0,1345,2022-12,2024-10,0,0,0,0,0,https://npiregistry.cms.hhs.gov/provider-view/1962808402
1518454917,"PITIURI, NINO",CA,2018-11-28,true,medicaid|medicare_partd,163615.68,2153,2022-11,2024-10,0,0,16158.16,0,0.0,https://npiregistry.cms.hhs.gov/provider-view/1518454917
1972566115,"RUSS, WILLIAM",CA,2018-08-10,false,medicaid,136819.5,5062,2018-01,2018-10,0,0,0,0,0,https://npiregistry.cms.hhs.gov/provider-view/1972566115
1164512000,"GRONCY, PAULA",CA,2017-10-24,false,medicaid,42355.6,1741,2018-01,2020-02,0,0,0,0,0,https://npiregistry.cms.hhs.gov/provider-view/1164512000
1942738190,"MEIKLEJOHN, KARLEEN",CA,2018-01-05,true,medicaid|medicare_partb,18862.62,476,2023-11,2024-10,21364.01,613,0,0,0,https://npiregistry.cms.hhs.gov/provider-view/1942738190
1902869878,"SHAFAI, TOURAJ",CA,2018-12-12,false,medicaid,39351.42,3006,2018-01,2019-06,0,0,0,0,0,https://npiregistry.cms.hhs.gov/provider-view/1902869878
1427402908,"HUYNH, PHAN",CA,2018-06-13,true,medicaid,35112.25,448,2021-01,2022-12,0,0,0,0,0,https://npiregistry.cms.hhs.gov/provider-view/1427402908
1225558349,"HAMLIN, FORREST",CA,2019-03-27,true,medicaid|medicare_partb|medicare_partd,7421.12,149,2022-09,2024-04,25403.95,303,1759.36,0,0.0,https://npiregistry.cms.hhs.gov/provider-view/1225558349
1265927115,"CHEN, LAWRENCE",CA,2018-08-10,true,medicaid|medicare_partb|medicare_partd,8572.62,1281,2023-05,2024-11,2530.95,24,18599.65,0,0.0,https://npiregistry.cms.hhs.gov/provider-view/1265927115
1336239870,"TEFFT, ROBERT",CA,2017-10-25,false,medicaid,18609.76,319,2018-10,2019-01,0,0,0,0,0,https://npiregistry.cms.hhs.gov/provider-view/1336239870
1871947200,"CLAWSON, ALYSIA",CA,2017-10-20,true,medicaid|medicare_partb,5532.06,264,2022-06,2022-08,6981.54,284,0,0,0,https://npiregistry.cms.hhs.gov/provider-view/1871947200
1639665888,"YAQOBI, SAFA",CA,2018-08-14,true,medicaid,12046.11,1576,2023-12,2024-11,0,0,0,0,0,https://npiregistry.cms.hhs.gov/provider-view/1639665888
1609075704,"CAMACHO, LETICIA",CA,2017-10-09,false,medicaid,9541.05,566,2018-01,2018-07,0,0,0,0,0,https://npiregistry.cms.hhs.gov/provider-view/1609075704
1245410919,"QUACH, LINH",CA,2018-04-02,false,medicaid,9023.35,501,2018-12,2020-06,0,0,0,0,0,https://npiregistry.cms.hhs.gov/provider-view/1245410919
1306898317,"GOFF, JOHN",CA,2018-03-13,false,medicaid,6104.58,325,2018-01,2019-04,0,0,0,0,0,https://npiregistry.cms.hhs.gov/provider-view/1306898317
1235576794,"BENNETT, TYRA",CA,2014-02-05,true,medicaid,2240.0,36,2024-05,2024-10,0,0,0,0,0,https://npiregistry.cms.hhs.gov/provider-view/1235576794
1881155455,"CHOU, CHIA-WEI",CA,2019-04-02,true,medicare_partd,0,0,,,0,0,1920.1,0,0.0,https://npiregistry.cms.hhs.gov/provider-view/1881155455
1760473417,"MARIAS, RICHARD",CA,2017-10-09,false,medicaid,1754.0,133,2018-01,2018-03,0,0,0,0,0,https://npiregistry.cms.hhs.gov/provider-view/1760473417
1326180209,"LIBERMAN, DANIEL",CA,2018-06-18,false,medicaid,995.65,122,2018-01,2018-10,0,0,0,0,0,https://npiregistry.cms.hhs.gov/provider-view/1326180209
1235334806,"STROBER, ROD",CA,2018-06-25,true,medicare_partd,0,0,,,0,0,793.39,0,0.0,https://npiregistry.cms.hhs.gov/provider-view/1235334806
1730193889,"NGUYEN, CUONG",CA,2017-12-26,false,medicaid,552.8,128,2018-01,2018-01,0,0,0,0,0,https://npiregistry.cms.hhs.gov/provider-view/1730193889
1720265762,"KAILA, RAKHI",CA,2018-07-09,true,medicare_partd,0,0,,,0,0,525.89,0,0.0,https://npiregistry.cms.hhs.gov/provider-view/1720265762
