npi,name,state,pecos_provider_type,pecos_codes,pecos_resolved_nucc,nppes_nucc,bh_codes_on_nppes,nppes_lookup_url
1184884223,"CAMICIA, KATHRYN",DC,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103TC1900X,103TC1900X,https://npiregistry.cms.hhs.gov/provider-view/1184884223
1679022578,"TILEY, DANIELLE",DC,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,101YM0800X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1679022578
1336658442,JOYCE KRAMER LCSW LLC,DC,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",1041C0700X,1041C0700X,https://npiregistry.cms.hhs.gov/provider-view/1336658442
1578058608,"PETTIS, SHARDE",DC,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103TC2200X,103TC2200X,https://npiregistry.cms.hhs.gov/provider-view/1578058608
1902206550,"WEBSTER, CHRISTINA",DC,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,101Y00000X,101Y00000X,https://npiregistry.cms.hhs.gov/provider-view/1902206550
1356720635,"HILL KING, DENISE",DC,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",101Y00000X,101Y00000X,https://npiregistry.cms.hhs.gov/provider-view/1356720635
1770637621,"COMMINS, WILLIAM",DC,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1770637621
1154598308,"QCI BEHAVIORAL HEALTH CONSULTING GROUP, LLC",DC,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X","101YA0400X,101YM0800X,102L00000X,104100000X,1041C0700X+2","101YA0400X,101YM0800X,1041C0700X,106H00000X",https://npiregistry.cms.hhs.gov/provider-view/1154598308
1669453809,PROVIDENCE HEALTH SERVICES INC,DC,MDPP SUPPLIER - IN-PERSON MDPP SUPPLIER | PART B SUPPLIER - CLINIC/GROUP PRACTICE,"12-70,53-D1","174H00000X,193200000X,193400000X,261Q00000X,261QM1300X+1","103TH0100X,207Q00000X,207R00000X,208600000X,208M00000X+2",103TH0100X,https://npiregistry.cms.hhs.gov/provider-view/1669453809
1376758870,"KLEINER, FREDRIC",DC,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1376758870
1255546347,"MILLER, CYNTHIA",DC,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",101Y00000X,101Y00000X,https://npiregistry.cms.hhs.gov/provider-view/1255546347
1508067398,"PADDER, TANVEER",DC,PRACTITIONER - PSYCHIATRY,14-26,"2084P0301X,2084P0800X",103TH0004X,103TH0004X,https://npiregistry.cms.hhs.gov/provider-view/1508067398
1497231666,"HEIER, JULIE",DC,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,"103G00000X,103T00000X,103TC2200X,103TH0004X","103G00000X,103T00000X,103TC2200X,103TH0004X",https://npiregistry.cms.hhs.gov/provider-view/1497231666
1316941081,"HAWKINS POPE, JANET",DC,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,101YM0800X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1316941081
1306254149,PATRICIA DECESARE LLC,DC,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",1041C0700X,1041C0700X,https://npiregistry.cms.hhs.gov/provider-view/1306254149
1467549188,"THE DORR CENTER, LLC",DC,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",1041C0700X,1041C0700X,https://npiregistry.cms.hhs.gov/provider-view/1467549188
1013963347,"CRIM, JENNIE",DC,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1013963347
1659866556,"WALLER, CHARLES",DC,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,101YM0800X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1659866556
1245733047,CENTER FOR RESILIENCE AND CONNECTION,DC,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",1041C0700X,1041C0700X,https://npiregistry.cms.hhs.gov/provider-view/1245733047
1851430722,"FENTON, CHRISTINE",DC,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",101Y00000X,101Y00000X,https://npiregistry.cms.hhs.gov/provider-view/1851430722
1922544063,"MIND SPA, LLC",DC,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",103TC0700X,103TC0700X,https://npiregistry.cms.hhs.gov/provider-view/1922544063
1306243373,"JORON-BADR, SAMIRA",DC,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",103TC1900X,103TC1900X,https://npiregistry.cms.hhs.gov/provider-view/1306243373
1336563998,"BORDLEY-BARNES, SHAYNELLE",DC,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",101YA0400X,101YA0400X,https://npiregistry.cms.hhs.gov/provider-view/1336563998
1457410466,"EDMISTER, PATRICIA",DC,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,"103T00000X,103TC2200X","103T00000X,103TC2200X",https://npiregistry.cms.hhs.gov/provider-view/1457410466
1881948503,ELLEN M MILLER LCSW-C LLC,DC,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",1041C0700X,1041C0700X,https://npiregistry.cms.hhs.gov/provider-view/1881948503
1225528573,KATRIN J HALLER MSW LCSWC LLC,DC,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",1041C0700X,1041C0700X,https://npiregistry.cms.hhs.gov/provider-view/1225528573
1710463385,"MARIPOSA THERAPY & ASSESSMENT, PLLC",DC,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",103TC0700X,103TC0700X,https://npiregistry.cms.hhs.gov/provider-view/1710463385
1205862406,"THACKER, JOANN",DC,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1205862406
1417105388,"SANDRA J. HOFFMAN, ED.D., PC",DC,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",103TC0700X,103TC0700X,https://npiregistry.cms.hhs.gov/provider-view/1417105388
1760575765,"PERLSTROM, JAMES",DC,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,"103T00000X,173F00000X",103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1760575765
1972783637,"BEHNEMAN & GUSCHWAN, INC.",DC,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",1041C0700X,1041C0700X,https://npiregistry.cms.hhs.gov/provider-view/1972783637
1861430910,"RICHARDS, BRIAN",DC,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1861430910
1932672268,"DAVIS, CATHERINE",DC,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,1041S0200X,1041S0200X,https://npiregistry.cms.hhs.gov/provider-view/1932672268
1144627019,"CHATHAM, CARRINGTON",DC,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,101YM0800X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1144627019
1629119946,"VON HABSBURG, MICHAEL",DC,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X","103T00000X,106H00000X","103T00000X,106H00000X",https://npiregistry.cms.hhs.gov/provider-view/1629119946
1770505331,"DISNEY, ELIZABETH",DC,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,"101YA0400X,103T00000X","101YA0400X,103T00000X",https://npiregistry.cms.hhs.gov/provider-view/1770505331
1598209132,"STAFFORD, KEVIN",DC,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,1041S0200X,1041S0200X,https://npiregistry.cms.hhs.gov/provider-view/1598209132
1205083631,"COLBERT, TRICIA",DC,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",101Y00000X,101Y00000X,https://npiregistry.cms.hhs.gov/provider-view/1205083631
1316317878,"CAMPBELL, KARINA",DC,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,"101Y00000X,101YM0800X","101Y00000X,101YM0800X",https://npiregistry.cms.hhs.gov/provider-view/1316317878
1316114986,"HUTCHINSON, JO",DC,PRACTITIONER - OTHER (NON-PHYSICIAN),14-88,,101YP2500X,101YP2500X,https://npiregistry.cms.hhs.gov/provider-view/1316114986
1477932960,"CAMPBELL, JAMES",DC,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,101YM0800X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1477932960
1730547266,COLLEEN D MITCHELL PHD LLC,DC,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",103TC0700X,103TC0700X,https://npiregistry.cms.hhs.gov/provider-view/1730547266
1932216280,"WILKEN, JEFFREY",DC,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103G00000X,103G00000X,https://npiregistry.cms.hhs.gov/provider-view/1932216280
1982849782,"NISSEN, GAYLE",DC,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,101YM0800X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1982849782
