npi,name,state,pecos_provider_type,pecos_codes,pecos_resolved_nucc,nppes_nucc,bh_codes_on_nppes,nppes_lookup_url
1992886345,"THOMAS, CLAUDIA",GA,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1992886345
1295020816,"MUNGAI, JOSEPH",GA,PRACTITIONER - CLINICAL SOCIAL WORKER | PRACTITIONER - MENTAL HEALTH COUNSELOR,"14-80,14-E2","101YM0800X,101YP2500X,1041C0700X",1041S0200X,1041S0200X,https://npiregistry.cms.hhs.gov/provider-view/1295020816
1396281440,"BARTLETT, MARY",GA,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",101Y00000X,101Y00000X,https://npiregistry.cms.hhs.gov/provider-view/1396281440
1982764841,"LEE, ERICA",GA,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1982764841
1457763070,"VAUGHAN, BARBARA",GA,PRACTITIONER - PSYCHIATRY,14-26,"2084P0301X,2084P0800X",101YM0800X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1457763070
1346256328,"LACY, STEPHANIE",GA,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,"104100000X,106H00000X",106H00000X,https://npiregistry.cms.hhs.gov/provider-view/1346256328
1053401190,OCONEE REHABILITATION SERVICES INC,GA,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X","1041C0700X,225100000X,225200000X,225X00000X,235Z00000X",1041C0700X,https://npiregistry.cms.hhs.gov/provider-view/1053401190
1255517884,"GRANT, BRUCE",GA,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,"101YA0400X,103T00000X","101YA0400X,103T00000X",https://npiregistry.cms.hhs.gov/provider-view/1255517884
1487817144,"ANGELICH, GEORGE",GA,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,101YM0800X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1487817144
1225331606,"BRUNER, JOHN",GA,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1225331606
1679710594,"KELLY, SHANNON",GA,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,101YP2500X,101YP2500X,https://npiregistry.cms.hhs.gov/provider-view/1679710594
1689867509,"CLARITY COUNSELING, LLC",GA,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",1041C0700X,1041C0700X,https://npiregistry.cms.hhs.gov/provider-view/1689867509
1790168383,"DEWINTER, SEAN",GA,ORDER AND REFERRING ONLY - CLINICAL SOCIAL WORKER,33-80,1041C0700X,101YM0800X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1790168383
1518007129,"ULRICI, DONNA",GA,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1518007129
1093062606,GRACE PSYCHOTHERAPY & PSYCHOLOGICAL ASSESMENT SERVICES OF NORTH GA,GA,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",103TC0700X,103TC0700X,https://npiregistry.cms.hhs.gov/provider-view/1093062606
1639510266,"STEWART, LINDSAY",GA,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103TC2200X,103TC2200X,https://npiregistry.cms.hhs.gov/provider-view/1639510266
1205961232,LIGHTHOUSE COUNSELING PC,GA,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X","101YP2500X,103TC0700X","101YP2500X,103TC0700X",https://npiregistry.cms.hhs.gov/provider-view/1205961232
1679988752,"SEGALL, MATTHEW",GA,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,"103T00000X,103TS0200X","103T00000X,103TS0200X",https://npiregistry.cms.hhs.gov/provider-view/1679988752
1811285836,"HUDGINS, SYNITA",GA,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,101YP2500X,101YP2500X,https://npiregistry.cms.hhs.gov/provider-view/1811285836
1942792346,PARTNERS IN WELLNESS LLC,GA,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",106H00000X,106H00000X,https://npiregistry.cms.hhs.gov/provider-view/1942792346
1295223626,HEALTHY LIFE CHOICES LLC,GA,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",1041C0700X,1041C0700X,https://npiregistry.cms.hhs.gov/provider-view/1295223626
1902109200,"CHARLES NORD, PH.D., P.C.",GA,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",103TC0700X,103TC0700X,https://npiregistry.cms.hhs.gov/provider-view/1902109200
1053567420,"LOYD, ASHLEY",GA,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103TC2200X,103TC2200X,https://npiregistry.cms.hhs.gov/provider-view/1053567420
1053490730,SOQED HOZI INC. DBA TURNING POINTS COUNSELING & CONSULTING,GA,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",1041C0700X,1041C0700X,https://npiregistry.cms.hhs.gov/provider-view/1053490730
1265741771,"GUERRA TROCHE, GIOVANNA",GA,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1265741771
1073806949,"WOOD, IRENE",GA,PRACTITIONER - OTHER (NON-PHYSICIAN),14-88,,101YP2500X,101YP2500X,https://npiregistry.cms.hhs.gov/provider-view/1073806949
1104071133,"BLACKWOOD, GRACE",GA,PRACTITIONER - OTHER (NON-PHYSICIAN),14-88,,101YM0800X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1104071133
1508067398,"PADDER, TANVEER",GA,PRACTITIONER - PSYCHIATRY,14-26,"2084P0301X,2084P0800X",103TH0004X,103TH0004X,https://npiregistry.cms.hhs.gov/provider-view/1508067398
1447374640,PINNACLE ENTERPRISES PC,GA,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X","103TC0700X,207L00000X,207Q00000X,208000000X,208D00000X+1",103TC0700X,https://npiregistry.cms.hhs.gov/provider-view/1447374640
