npi,name,state,pecos_provider_type,pecos_codes,pecos_resolved_nucc,nppes_nucc,bh_codes_on_nppes,nppes_lookup_url
1295264463,"BERTE-GREINERT, SARAH",IA,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,101YM0800X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1295264463
1871805838,"OBRIEN, MATTHEW",IA,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,"103G00000X,103K00000X,103T00000X,103TC2200X","103G00000X,103K00000X,103T00000X,103TC2200X",https://npiregistry.cms.hhs.gov/provider-view/1871805838
1871927251,"THRONDSON, JESSICA",IA,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",101YA0400X,101YA0400X,https://npiregistry.cms.hhs.gov/provider-view/1871927251
1295020816,"MUNGAI, JOSEPH",IA,PRACTITIONER - CLINICAL SOCIAL WORKER | PRACTITIONER - MENTAL HEALTH COUNSELOR,"14-80,14-E2","101YM0800X,101YP2500X,1041C0700X",1041S0200X,1041S0200X,https://npiregistry.cms.hhs.gov/provider-view/1295020816
1023158789,"RIESSLAND, AMY",IA,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,101YM0800X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1023158789
1447585377,STEPPING STONE FAMILY SERVICES INC,IA,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",101YM0800X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1447585377
1427328772,"JENNIFER KRUSE, MA, LMHC, PLLC",IA,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",101YM0800X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1427328772
1477983120,DONALD M KAESSER PHD PC,IA,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X","101YA0400X,103T00000X,103TC1900X","101YA0400X,103T00000X,103TC1900X",https://npiregistry.cms.hhs.gov/provider-view/1477983120
1376550988,"BURKLEY, JILL",IA,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1376550988
1821575663,"FETTER, SARAH",IA,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,"103T00000X,103TH0100X","103T00000X,103TH0100X",https://npiregistry.cms.hhs.gov/provider-view/1821575663
1275537623,"HOUGEN, RONALD",IA,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1275537623
1154742989,"SMITH, MISTY",IA,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",101Y00000X,101Y00000X,https://npiregistry.cms.hhs.gov/provider-view/1154742989
1649220054,"OTTAVI, THOMAS",IA,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103TC1900X,103TC1900X,https://npiregistry.cms.hhs.gov/provider-view/1649220054
1952443632,PRAIRIE RIDGE INTEGRATED BEHAVIORAL HEALTHCARE,IA,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X","101YA0400X,103TA0400X,261QM0801X,324500000X","101YA0400X,103TA0400X",https://npiregistry.cms.hhs.gov/provider-view/1952443632
1376522060,BETHESDA CHRISTIAN COUNSELING MIDWEST INC,IA,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X","101Y00000X,101YM0800X,101YP2500X,103T00000X,104100000X+3","101Y00000X,101YM0800X,101YP2500X,103T00000X,1041C0700X",https://npiregistry.cms.hhs.gov/provider-view/1376522060
1194122127,"SCHOEN, EVA",IA,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103TC1900X,103TC1900X,https://npiregistry.cms.hhs.gov/provider-view/1194122127
1992756902,"GOULD, MARTHA",IA,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103TC2200X,103TC2200X,https://npiregistry.cms.hhs.gov/provider-view/1992756902
