npi,name,state,pecos_provider_type,pecos_codes,pecos_resolved_nucc,nppes_nucc,bh_codes_on_nppes,nppes_lookup_url
1972639888,"EVERY, DEBORAH",ID,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1972639888
1336535178,"TOVAR, LISA",ID,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,101YM0800X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1336535178
1619128931,"KELLY-MAJORS, LESLIE",ID,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,101YA0400X,101YA0400X,https://npiregistry.cms.hhs.gov/provider-view/1619128931
1245525971,"JOHNSON, MEGHANN",ID,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,101YM0800X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1245525971
1427108323,INNOVATIVE HEALTH CARE CONCEPTS INC,ID,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X","103G00000X,103TC0700X,251S00000X","103G00000X,103TC0700X",https://npiregistry.cms.hhs.gov/provider-view/1427108323
1720335078,"IRISH, TREVOR",ID,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",101Y00000X,101Y00000X,https://npiregistry.cms.hhs.gov/provider-view/1720335078
1689068413,"DIRNE HEALTH CENTERS, INC.",ID,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),00-04,"207Y00000X,207YP0228X,207YS0012X,207YS0123X,207YX0007X+3","101Y00000X,104100000X,207Q00000X,261QF0400X,363A00000X+1",101Y00000X,https://npiregistry.cms.hhs.gov/provider-view/1689068413
1598077562,LIFE CHANGE ASSOCIATES PC,ID,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X","101YM0800X,2084P0800X,363A00000X",101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1598077562
1407808728,"ZYLSTRA, LENNARD",ID,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,103TC0700X,103TC0700X,https://npiregistry.cms.hhs.gov/provider-view/1407808728
1245528082,RAWLINGS COMMUNITY COUNSELING,ID,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X","101YA0400X,101YM0800X,106H00000X","101YA0400X,101YM0800X,106H00000X",https://npiregistry.cms.hhs.gov/provider-view/1245528082
