npi,name,state,pecos_provider_type,pecos_codes,pecos_resolved_nucc,nppes_nucc,bh_codes_on_nppes,nppes_lookup_url
1508085291,BOULEVARD PSYCHOLOGY LLC,KS,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",103TC1900X,103TC1900X,https://npiregistry.cms.hhs.gov/provider-view/1508085291
1760685879,"WINSLOW, BROOKE",KS,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,"101Y00000X,104100000X",101Y00000X,https://npiregistry.cms.hhs.gov/provider-view/1760685879
1508319492,"NGUYEN, CHELSEA",KS,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,101YM0800X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1508319492
1780961425,EMPORIA PSYCHOLOGICAL SERVICES INC,KS,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1780961425
1164507547,"SCHEMMEL, DENNIS",KS,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103TC1900X,103TC1900X,https://npiregistry.cms.hhs.gov/provider-view/1164507547
1770745663,"NICHOLS, HAL",KS,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,"101YA0400X,101YM0800X","101YA0400X,101YM0800X",https://npiregistry.cms.hhs.gov/provider-view/1770745663
1649476094,"LASSEN, STEPHEN",KS,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103TC2200X,103TC2200X,https://npiregistry.cms.hhs.gov/provider-view/1649476094
1083938369,"SCHMITZ, CECELIA",KS,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,101YM0800X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1083938369
1184056905,"KENTOPP, SHANE",KS,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,101YM0800X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1184056905
1881878916,"WILSON, LISA",KS,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103TC2200X,103TC2200X,https://npiregistry.cms.hhs.gov/provider-view/1881878916
1326242579,"OETINGER, MEGAN",KS,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1326242579
1013288596,COURTNEY E JOHNSON PHD LLC,KS,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",103TC0700X,103TC0700X,https://npiregistry.cms.hhs.gov/provider-view/1013288596
1295870996,"FALLON, MARGARET",KS,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1295870996
1629497177,"ZANGRILLO, AMANDA",KS,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1629497177
1487650842,HERITAGE MENTAL HEALTH CLINIC LLC,KS,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X","103TC0700X,1041C0700X,2084P0800X","103TC0700X,1041C0700X",https://npiregistry.cms.hhs.gov/provider-view/1487650842
1033373345,"KLAUS, NICOLE",KS,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103TC2200X,103TC2200X,https://npiregistry.cms.hhs.gov/provider-view/1033373345
1356794671,"EMBARK COUNSELING SERVICES, LLC",KS,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",101YP2500X,101YP2500X,https://npiregistry.cms.hhs.gov/provider-view/1356794671
1710422381,CHARLOTTE M ROSENAK PHD LLC,KS,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",103TC0700X,103TC0700X,https://npiregistry.cms.hhs.gov/provider-view/1710422381
1841675717,"BARNES, LASHEENA",KS,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1841675717
1528183159,BERNARD J SULLIVAN PHD LLC,KS,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",103TC0700X,103TC0700X,https://npiregistry.cms.hhs.gov/provider-view/1528183159
1245717826,DBT CENTER OF LAWRENCE AND KANSAS CITY LLC,KS,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",101YP2500X,101YP2500X,https://npiregistry.cms.hhs.gov/provider-view/1245717826
1750837936,"STEFFEN, RACHEL",KS,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,101Y00000X,101Y00000X,https://npiregistry.cms.hhs.gov/provider-view/1750837936
1578001566,JASON SCHECK LLC,KS,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",1041C0700X,1041C0700X,https://npiregistry.cms.hhs.gov/provider-view/1578001566
1679617955,"MINDS MATTER, LLC",KS,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X","103TR0400X,225X00000X",103TR0400X,https://npiregistry.cms.hhs.gov/provider-view/1679617955
1780132449,"SMALL, TRACEY",KS,PRACTITIONER - NURSE PRACTITIONER,14-50,"363L00000X,363LA2100X,363LA2200X,363LC0200X,363LC1500X+13",1041C0700X,1041C0700X,https://npiregistry.cms.hhs.gov/provider-view/1780132449
1568618445,"GRAHAM, GINA",KS,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1568618445
1144380494,"DUNAWAY, SUSAN",KS,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",101Y00000X,101Y00000X,https://npiregistry.cms.hhs.gov/provider-view/1144380494
1841272341,"CRAMER, DEE",KS,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103TB0200X,103TB0200X,https://npiregistry.cms.hhs.gov/provider-view/1841272341
1194758946,"PAQUETTE, DANA",KS,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",103TC0700X,103TC0700X,https://npiregistry.cms.hhs.gov/provider-view/1194758946
1780859165,AMY MEEK FAMILY THERAPY GROUP LLC,KS,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",106H00000X,106H00000X,https://npiregistry.cms.hhs.gov/provider-view/1780859165
1295110286,"WRIGHT, PAULA",KS,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,101YA0400X,101YA0400X,https://npiregistry.cms.hhs.gov/provider-view/1295110286
1578529095,SANDRA J MCCOY PHD PA,KS,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",103TC0700X,103TC0700X,https://npiregistry.cms.hhs.gov/provider-view/1578529095
1811355530,"FALL, KEVIN",KS,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1811355530
1275684433,"PADGETT, SHAWN",KS,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X","103T00000X,103TC0700X","103T00000X,103TC0700X",https://npiregistry.cms.hhs.gov/provider-view/1275684433
1801963137,"CLARK, JOHNETTE",KS,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103TC2200X,103TC2200X,https://npiregistry.cms.hhs.gov/provider-view/1801963137
1255838900,MELANIE A MILLER LSCSW LLC,KS,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",1041C0700X,1041C0700X,https://npiregistry.cms.hhs.gov/provider-view/1255838900
1073559175,SPENCE COUNSELING CENTER PC,KS,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",101YM0800X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1073559175
