npi,name,state,pecos_provider_type,pecos_codes,pecos_resolved_nucc,nppes_nucc,bh_codes_on_nppes,nppes_lookup_url
1558667758,"BRADOW, ALLYSON",KY,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1558667758
1063781441,"KENDRICK, JENNIFER",KY,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,106H00000X,106H00000X,https://npiregistry.cms.hhs.gov/provider-view/1063781441
1013932276,"JACKSON, ELIZABETH",KY,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1013932276
1154333938,"HOLBROOK, MISTI",KY,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",103TC0700X,103TC0700X,https://npiregistry.cms.hhs.gov/provider-view/1154333938
1497131460,"CHARLET, NILES",KY,PRACTITIONER - MARRIAGE AND FAMILY THERAPIST,14-E1,106H00000X,101YM0800X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1497131460
1790868990,"TINCHER, JULIE",KY,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,"101YM0800X,106H00000X","101YM0800X,106H00000X",https://npiregistry.cms.hhs.gov/provider-view/1790868990
1376818658,"MARKWARD, CAMILLE",KY,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X","101Y00000X,103TC0700X","101Y00000X,103TC0700X",https://npiregistry.cms.hhs.gov/provider-view/1376818658
1821578576,"WICK, LAURA",KY,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,101YM0800X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1821578576
1396763249,"GRAVEN, JACQUELYN",KY,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103G00000X,103G00000X,https://npiregistry.cms.hhs.gov/provider-view/1396763249
1780622100,"KAPP, CHARLES",KY,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1780622100
1447655451,COMPASS COUNSELING OF OWENSBORO,KY,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",101YM0800X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1447655451
1760491674,MOUNTAIN COMPREHENSIVE CARE CENTER INC,KY,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",101YM0800X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1760491674
1154723286,"ROLLINS, EVAN",KY,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",101Y00000X,101Y00000X,https://npiregistry.cms.hhs.gov/provider-view/1154723286
1619303567,"MCKINLEY, RICHARD",KY,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",101YA0400X,101YA0400X,https://npiregistry.cms.hhs.gov/provider-view/1619303567
1013464973,"SCHAEFER, NATASHA",KY,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,101Y00000X,101Y00000X,https://npiregistry.cms.hhs.gov/provider-view/1013464973
1922214956,"RIDGE OUTPATIENT COUNSELING, LLC",KY,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X","101YP2500X,1041C0700X,106H00000X,273R00000X,363L00000X","101YP2500X,1041C0700X,106H00000X",https://npiregistry.cms.hhs.gov/provider-view/1922214956
1487129060,"WELLS, SAVANNAH",KY,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,101YA0400X,101YA0400X,https://npiregistry.cms.hhs.gov/provider-view/1487129060
1548270234,"WILLIAMS, SARAH",KY,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1548270234
1215388723,"LUNTSFORD, VICTORIA",KY,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,101YA0400X,101YA0400X,https://npiregistry.cms.hhs.gov/provider-view/1215388723
1811400740,"MATTINGLY, CHARITY",KY,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,101YM0800X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1811400740
1962715458,"WHITTEN, MICHAEL",KY,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1962715458
1972970846,GRAY COUNSELING SERVICES PLLC,KY,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",1041C0700X,1041C0700X,https://npiregistry.cms.hhs.gov/provider-view/1972970846
1174555866,"WEBER HALL, AMY",KY,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",101Y00000X,101Y00000X,https://npiregistry.cms.hhs.gov/provider-view/1174555866
1083934285,"STEELSMITH, LISA",KY,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1083934285
1932521044,GINGER VANMETER LLC,KY,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",1041C0700X,1041C0700X,https://npiregistry.cms.hhs.gov/provider-view/1932521044
1255309530,"BAILEY, LINDA",KY,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,"103T00000X,104100000X,106H00000X","103T00000X,106H00000X",https://npiregistry.cms.hhs.gov/provider-view/1255309530
1881752764,"CLARK, JOAN",KY,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,101YM0800X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1881752764
1548706617,"GIBSON, HEATHER",KY,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,101YA0400X,101YA0400X,https://npiregistry.cms.hhs.gov/provider-view/1548706617
1386072726,"COOKSEY, LILIAN",KY,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1386072726
1770900631,PEACEFUL SOLUTIONS COUNSELING INC,KY,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",1041C0700X,1041C0700X,https://npiregistry.cms.hhs.gov/provider-view/1770900631
1801234901,"BURNETT, MARY",KY,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,"101Y00000X,104100000X",101Y00000X,https://npiregistry.cms.hhs.gov/provider-view/1801234901
1003273665,CARIS COUNSELING & BEHAVIORAL HEALTH GROUP,KY,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X","101Y00000X,101YP2500X,103TC1900X,1041C0700X","101Y00000X,101YP2500X,103TC1900X,1041C0700X",https://npiregistry.cms.hhs.gov/provider-view/1003273665
1053534404,JULIE KRAUS HIDEG PSYD AND ASSOCIATES PLLC,KY,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",103TC0700X,103TC0700X,https://npiregistry.cms.hhs.gov/provider-view/1053534404
1679030845,"JEFFRIES, RYAN",KY,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",101Y00000X,101Y00000X,https://npiregistry.cms.hhs.gov/provider-view/1679030845
1710211297,"LACY, ALICIA",KY,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,101Y00000X,101Y00000X,https://npiregistry.cms.hhs.gov/provider-view/1710211297
1649378258,"ROSEN, BETH",KY,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1649378258
1013433119,"SHORT, TIFFANY",KY,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,101Y00000X,101Y00000X,https://npiregistry.cms.hhs.gov/provider-view/1013433119
1487131405,"LOVEJOY, AMY",KY,PRACTITIONER - PHYSICAL THERAPIST IN PRIVATE PRACTICE,14-65,"225100000X,2251C2600X,2251E1200X,2251E1300X,2251G0304X+6",101YM0800X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1487131405
1649705062,"WARNER, KATIE",KY,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",101Y00000X,101Y00000X,https://npiregistry.cms.hhs.gov/provider-view/1649705062
