npi,name,state,pecos_provider_type,pecos_codes,pecos_resolved_nucc,nppes_nucc,bh_codes_on_nppes,nppes_lookup_url
1477736866,CAROLE M ROWLAND PHD PLLC,MI,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1477736866
1154715274,OGLAND-HAND CONSULTING LLC,MI,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",103TC0700X,103TC0700X,https://npiregistry.cms.hhs.gov/provider-view/1154715274
1952424715,"BELANGER, MARY",MI,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1952424715
1164888269,COME AS YOU ARE COUNSELING AND CONSULTING,MI,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",101Y00000X,101Y00000X,https://npiregistry.cms.hhs.gov/provider-view/1164888269
1396099628,"MAYER, JESSICA",MI,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",101Y00000X,101Y00000X,https://npiregistry.cms.hhs.gov/provider-view/1396099628
1619439064,A NEW DAY COUNSELING LLC,MI,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",1041C0700X,1041C0700X,https://npiregistry.cms.hhs.gov/provider-view/1619439064
1851462543,"WISNIEWSKI, KIMBERLY",MI,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1851462543
1932100369,"COLMAN, MICHAEL",MI,PRACTITIONER - PSYCHIATRY,14-26,"2084P0301X,2084P0800X","101YM0800X,103T00000X,103TA0700X,103TC0700X,103TC2200X+2","101YM0800X,103T00000X,103TA0700X,103TC0700X,103TC2200X,103TF0000X,103TP0814X",https://npiregistry.cms.hhs.gov/provider-view/1932100369
1265656516,"JOHNSON-GAMLIN, SANDRA",MI,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1265656516
1396081451,"WILSON, BRADFORD",MI,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",101Y00000X,101Y00000X,https://npiregistry.cms.hhs.gov/provider-view/1396081451
1730410085,"YOUNG, GWENDA",MI,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",101Y00000X,101Y00000X,https://npiregistry.cms.hhs.gov/provider-view/1730410085
1760528749,"MOIR, TANISHA",MI,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,"101YA0400X,104100000X",101YA0400X,https://npiregistry.cms.hhs.gov/provider-view/1760528749
1922490176,"CRONIN, LINDSEY",MI,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",101Y00000X,101Y00000X,https://npiregistry.cms.hhs.gov/provider-view/1922490176
1275651812,"RAO, PRIYA",MI,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1275651812
1184765208,TEN SIXTEEN RECOVERY NETWORK,MI,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X","101YA0400X,103TA0400X","101YA0400X,103TA0400X",https://npiregistry.cms.hhs.gov/provider-view/1184765208
1629552674,HOSLER CENTER FOR SPEECH LLC,MI,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X","103T00000X,225X00000X,235Z00000X",103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1629552674
1922204296,THE BRIDGE CENTER FOR GROWTH PC,MI,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",103TC0700X,103TC0700X,https://npiregistry.cms.hhs.gov/provider-view/1922204296
1992163281,"WOOLNER, KELSEY",MI,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,"101YM0800X,390200000X",101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1992163281
1356749022,"KENNERT, BENJAMIN",MI,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1356749022
1144581174,"WILLIAMS, AZMEN",MI,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,"101YM0800X,104100000X",101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1144581174
