npi,name,state,pecos_provider_type,pecos_codes,pecos_resolved_nucc,nppes_nucc,bh_codes_on_nppes,nppes_lookup_url
1063781441,"KENDRICK, JENNIFER",MN,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,106H00000X,106H00000X,https://npiregistry.cms.hhs.gov/provider-view/1063781441
1598917692,"FIEBELKORN KENNEDY, BETHANY",MN,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1598917692
1497184949,ED PATTON LLC.,MN,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",106H00000X,106H00000X,https://npiregistry.cms.hhs.gov/provider-view/1497184949
1831339290,NANCY HAWKINS & ASSOCIATES,MN,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",103TC0700X,103TC0700X,https://npiregistry.cms.hhs.gov/provider-view/1831339290
1972909760,"BRUSH, KATHRYN",MN,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1972909760
1699176602,TRUAX CENTER LLC,MN,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",101YM0800X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1699176602
1790212926,FAMILY REVELATIONS INC.,MN,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X","101YP2500X,261QM0850X,261QM0855X",101YP2500X,https://npiregistry.cms.hhs.gov/provider-view/1790212926
1821407172,"STEELY, ANN",MN,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,"101YA0400X,104100000X",101YA0400X,https://npiregistry.cms.hhs.gov/provider-view/1821407172
1962703322,"SIBERIO, SEAN",MN,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,101YM0800X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1962703322
1699869875,SANFORD HEALTH NETWORK,MN,PART A PROVIDER - RURAL HEALTH CLINIC | PART B SUPPLIER - CLINIC/GROUP PRACTICE,"00-17,12-70","193200000X,193400000X,207LH0002X,207PH0002X,207QH0002X+7","103T00000X,207P00000X,207Q00000X,207R00000X,208000000X+3",103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1699869875
1508319823,"DOLAN, ALISON",MN,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1508319823
1932339082,"CONNOR, DANIEL",MN,PRACTITIONER - MARRIAGE AND FAMILY THERAPIST,14-E1,106H00000X,103TB0200X,103TB0200X,https://npiregistry.cms.hhs.gov/provider-view/1932339082
1740422740,"OBREGON, BLANCA",MN,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",101Y00000X,101Y00000X,https://npiregistry.cms.hhs.gov/provider-view/1740422740
1982891669,"BECKER, DANIEL",MN,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,"101YA0400X,101YM0800X,104100000X","101YA0400X,101YM0800X",https://npiregistry.cms.hhs.gov/provider-view/1982891669
1730451923,"DANIEL LEGERSKI, PSY.D., LP, LLC",MN,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",103TC0700X,103TC0700X,https://npiregistry.cms.hhs.gov/provider-view/1730451923
1891037198,"VUE-BRABANT, CHOUA",MN,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,101Y00000X,101Y00000X,https://npiregistry.cms.hhs.gov/provider-view/1891037198
1295201416,"BEMMELS, HEATHER",MN,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1295201416
1851637250,"OFEI, CHINONYE",MN,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",101YA0400X,101YA0400X,https://npiregistry.cms.hhs.gov/provider-view/1851637250
1437136231,"WEISS, JENNIFER",MN,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1437136231
1609099852,"BOLLIN, KEVIN",MN,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1609099852
1922571835,"CREURER, SARA",MN,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1922571835
1760815229,"TAMARIND P KNUTSON, LLC",MN,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",103TC0700X,103TC0700X,https://npiregistry.cms.hhs.gov/provider-view/1760815229
1598750960,"REID, JULIA",MN,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103TC2200X,103TC2200X,https://npiregistry.cms.hhs.gov/provider-view/1598750960
1568418812,"BOYS, CHRISTOPHER",MN,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,"103G00000X,103T00000X,103TC2200X,2084P0005X","103G00000X,103T00000X,103TC2200X",https://npiregistry.cms.hhs.gov/provider-view/1568418812
1629213541,"LORENZ, CHAD",MN,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,"103TF0000X,106H00000X","103TF0000X,106H00000X",https://npiregistry.cms.hhs.gov/provider-view/1629213541
1851462907,"LININGER, ROBERT",MN,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1851462907
1720346349,"NEVERTON, ALEXANDER",MN,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",101Y00000X,101Y00000X,https://npiregistry.cms.hhs.gov/provider-view/1720346349
1962572974,"KUCHTA, STEVEN",MN,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1962572974
