npi,name,state,pecos_provider_type,pecos_codes,pecos_resolved_nucc,nppes_nucc,bh_codes_on_nppes,nppes_lookup_url
1841444577,"TRZINSKI, SCOTT",MT,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",101Y00000X,101Y00000X,https://npiregistry.cms.hhs.gov/provider-view/1841444577
1699806083,"YOSHIMURA, ELLEN",MT,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1699806083
1669529921,"LEIGHT, JENNIFER",MT,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,"103T00000X,225100000X",103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1669529921
1386836898,"LINDNER, GRETCHEN",MT,ORDER AND REFERRING ONLY - CLINICAL PSYCHOLOGIST,33-68,103TC0700X,103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1386836898
1386977791,"MOOK, HOLLY",MT,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,101YA0400X,101YA0400X,https://npiregistry.cms.hhs.gov/provider-view/1386977791
1851886030,"PARDUE, CODY",MT,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",101YA0400X,101YA0400X,https://npiregistry.cms.hhs.gov/provider-view/1851886030
1891875464,"DOHR, KEVIN",MT,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1891875464
1194107003,L ESPRIT PC,MT,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X","1041C0700X,2084P0804X,251S00000X,320800000X",1041C0700X,https://npiregistry.cms.hhs.gov/provider-view/1194107003
1528258720,BULLHOOK COMMUNITY HEALTH CENTER INC,MT,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC) | PART B SUPPLIER - CLINIC/GROUP PRACTICE,"00-04,12-70","193200000X,193400000X,207Y00000X,207YP0228X,207YS0012X+8","101YA0400X,101YM0800X,101YP2500X,104100000X,1041C0700X+7","101YA0400X,101YM0800X,101YP2500X,1041C0700X",https://npiregistry.cms.hhs.gov/provider-view/1528258720
1457863664,MONTANA CENTER FOR SOMATIC PSYCHOTHERAPY,MT,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X","101YP2500X,1041C0700X","101YP2500X,1041C0700X",https://npiregistry.cms.hhs.gov/provider-view/1457863664
