npi,name,state,pecos_provider_type,pecos_codes,pecos_resolved_nucc,nppes_nucc,bh_codes_on_nppes,nppes_lookup_url
1235316373,"BERGLUND, RANDI",ND,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X","101YA0400X,171M00000X",101YA0400X,https://npiregistry.cms.hhs.gov/provider-view/1235316373
1629204920,"MOHL, BRENDA",ND,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X","101YA0400X,171M00000X",101YA0400X,https://npiregistry.cms.hhs.gov/provider-view/1629204920
1427534114,"FINCH, RACHEL",ND,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",101YA0400X,101YA0400X,https://npiregistry.cms.hhs.gov/provider-view/1427534114
1669777561,"WOOD, SUSAN",ND,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103G00000X,103G00000X,https://npiregistry.cms.hhs.gov/provider-view/1669777561
1578996567,"GILBERT, BLAKE",ND,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,101YM0800X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1578996567
1114949773,"STONE, EILEEN",ND,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,"103T00000X,103TP0814X","103T00000X,103TP0814X",https://npiregistry.cms.hhs.gov/provider-view/1114949773
1447607742,"ALTHOFF, EMILY",ND,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",101YA0400X,101YA0400X,https://npiregistry.cms.hhs.gov/provider-view/1447607742
1306274600,"JUANTO LAVER, NILS-ERIK",ND,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,"103T00000X,103TC1900X","103T00000X,103TC1900X",https://npiregistry.cms.hhs.gov/provider-view/1306274600
1215131016,NORTHLAND CHRISTIAN COUNSELING CENTER INC,ND,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",101YM0800X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1215131016
1497776736,"PREUSSLER, REBECCA",ND,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,"103TC2200X,103TP0814X","103TC2200X,103TP0814X",https://npiregistry.cms.hhs.gov/provider-view/1497776736
1508224254,"MAGELKY, THERESA",ND,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1508224254
1487164455,"FLANNERY-BINFET, RACHEL",ND,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",101YA0400X,101YA0400X,https://npiregistry.cms.hhs.gov/provider-view/1487164455
1285009159,"THOMPSON, ASHLEY",ND,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",101Y00000X,101Y00000X,https://npiregistry.cms.hhs.gov/provider-view/1285009159
1790741999,"WELKE, CHARLES",ND,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1790741999
1700152568,"KOLDEN, JUSTIN",ND,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",101YA0400X,101YA0400X,https://npiregistry.cms.hhs.gov/provider-view/1700152568
1982754552,NUVATION HEALTH SERVICES PC,ND,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X","101Y00000X,101YM0800X","101Y00000X,101YM0800X",https://npiregistry.cms.hhs.gov/provider-view/1982754552
1083646988,"DAVIS, DEBORAH",ND,PRACTITIONER - OTHER (NON-PHYSICIAN),14-88,,101YA0400X,101YA0400X,https://npiregistry.cms.hhs.gov/provider-view/1083646988
1538399019,"CEDARS, KRISTILYNN",ND,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1538399019
1912265208,"REHWINKEL-MORFE, ANNA",ND,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1912265208
1396048518,"MOE, BRIAN",ND,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1396048518
1124084942,"ROSE, ROXANNE",ND,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1124084942
1639257033,RED DOOR PEDIATRIC THERAPY INC,ND,PART B SUPPLIER - PHYSICAL/OCCUPATIONAL THERAPY GROUP IN PRIVATE PRACTICE,12-65,"225100000X,2251C2600X,2251E1200X,2251E1300X,2251G0304X+6","101YM0800X,225X00000X,235Z00000X",101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1639257033
1053474411,"MADLER, TAMARA",ND,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,101YA0400X,101YA0400X,https://npiregistry.cms.hhs.gov/provider-view/1053474411
1538198759,KNOWLTON O'NEILL & ASSOCIATES PC,ND,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1538198759
1144456955,"HARVEY, JESSICA",ND,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,101YM0800X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1144456955
1427437086,"PISTORINO, ELIZABETH",ND,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",101YA0400X,101YA0400X,https://npiregistry.cms.hhs.gov/provider-view/1427437086
1578614038,SOLUTIONS COUNSELING SERVICES INC,ND,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X","101YP2500X,103T00000X,1041C0700X","101YP2500X,103T00000X,1041C0700X",https://npiregistry.cms.hhs.gov/provider-view/1578614038
1942371067,SUE A RUSSELL PHD PC,ND,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",103TC0700X,103TC0700X,https://npiregistry.cms.hhs.gov/provider-view/1942371067
1063443976,"GABBERT, NANCY",ND,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1063443976
1144638651,"STEPHENSON, NATHANIEL",ND,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,101YM0800X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1144638651
1750308425,"KADLEC, KELLY",ND,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103TP0814X,103TP0814X,https://npiregistry.cms.hhs.gov/provider-view/1750308425
1043316961,LIPP CARLSON WITUCKI & ASSOCIATES LTD,ND,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",103TC0700X,103TC0700X,https://npiregistry.cms.hhs.gov/provider-view/1043316961
1700972122,"AGASSIZ ASSOCIATES, PLLC",ND,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X","103TC0700X,103TC1900X","103TC0700X,103TC1900X",https://npiregistry.cms.hhs.gov/provider-view/1700972122
1386859973,"LANG, MARNY",ND,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1386859973
1558731257,A NEW HORIZONS COUNSELING SERVICES LLC,ND,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",1041C0700X,1041C0700X,https://npiregistry.cms.hhs.gov/provider-view/1558731257
1972829950,"IBACH, HEATHER",ND,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,"101YA0400X,104100000X",101YA0400X,https://npiregistry.cms.hhs.gov/provider-view/1972829950
1043793920,"OHLSON, REBECCA",ND,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,1041S0200X,1041S0200X,https://npiregistry.cms.hhs.gov/provider-view/1043793920
1114948452,"ULVEN, JON",ND,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103TP0814X,103TP0814X,https://npiregistry.cms.hhs.gov/provider-view/1114948452
1205360153,COMMUNITY MEDICAL SERVICES MONTANA PRIVATE LLC,ND,PART B SUPPLIER - OPIOID TREATMENT PROGRAM (OTP),12-D5,261QR0405X,"101YA0400X,261QM2800X",101YA0400X,https://npiregistry.cms.hhs.gov/provider-view/1205360153
1528202116,"POWELL, JAMES",ND,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,101YM0800X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1528202116
1598259814,"HEMMING, LYNAE",ND,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",101Y00000X,101Y00000X,https://npiregistry.cms.hhs.gov/provider-view/1598259814
1144311093,"HOFSTAD, ALLISON",ND,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X","101YA0400X,225X00000X",101YA0400X,https://npiregistry.cms.hhs.gov/provider-view/1144311093
1316369739,"HOPKINS, AUDREY",ND,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X","101YA0400X,171M00000X",101YA0400X,https://npiregistry.cms.hhs.gov/provider-view/1316369739
