npi,name,state,pecos_provider_type,pecos_codes,pecos_resolved_nucc,nppes_nucc,bh_codes_on_nppes,nppes_lookup_url
1639418890,"QUINTANILLA, SADIE",NM,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",101Y00000X,101Y00000X,https://npiregistry.cms.hhs.gov/provider-view/1639418890
1952807521,STILLWATER COUNSELING LLC,NM,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",101YM0800X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1952807521
1740610955,"MOGHADAM, YVONNE",NM,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",101YA0400X,101YA0400X,https://npiregistry.cms.hhs.gov/provider-view/1740610955
1649544354,"GARCIA, HEATHER",NM,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",101Y00000X,101Y00000X,https://npiregistry.cms.hhs.gov/provider-view/1649544354
1023303070,"MIRANDA, INNAEL",NM,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",101YA0400X,101YA0400X,https://npiregistry.cms.hhs.gov/provider-view/1023303070
1336611623,"ELLIOTT, AMANDA",NM,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",101YA0400X,101YA0400X,https://npiregistry.cms.hhs.gov/provider-view/1336611623
1003341975,"VAS, COREY",NM,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,"103T00000X,103TB0200X,103TC1900X,103TF0000X,103TP2701X","103T00000X,103TB0200X,103TC1900X,103TF0000X,103TP2701X",https://npiregistry.cms.hhs.gov/provider-view/1003341975
1609079227,"DELGADO-TORRES, ELIZABETH",NM,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1609079227
1598267452,"APODACA, CRISTINA",NM,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",101YA0400X,101YA0400X,https://npiregistry.cms.hhs.gov/provider-view/1598267452
1780062489,"INTERACTIONMATTERS, LLC",NM,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",1041C0700X,1041C0700X,https://npiregistry.cms.hhs.gov/provider-view/1780062489
1023368065,"BABBITT, ALMA",NM,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",101YA0400X,101YA0400X,https://npiregistry.cms.hhs.gov/provider-view/1023368065
1699072538,UNIVERSAL COUNSELING LLC,NM,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",101YP2500X,101YP2500X,https://npiregistry.cms.hhs.gov/provider-view/1699072538
1053838375,"JOURNEY TO WELLNESS COUNSELING LOS LUNAS, LLC",NM,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",101YM0800X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1053838375
1447620489,LC COUNSELING SERVICES LLC,NM,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",101YP2500X,101YP2500X,https://npiregistry.cms.hhs.gov/provider-view/1447620489
1124187075,"BRAINARD, MARYTHELMA",NM,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103TC1900X,103TC1900X,https://npiregistry.cms.hhs.gov/provider-view/1124187075
1225537186,"YATSATTIE, SARA",NM,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,103K00000X,103K00000X,https://npiregistry.cms.hhs.gov/provider-view/1225537186
1679963292,JANUS COUNSELING SERVICES LLC,NM,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",101YP2500X,101YP2500X,https://npiregistry.cms.hhs.gov/provider-view/1679963292
1083063309,INTEGRATED COUNSELING LLC,NM,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X","101YA0400X,1041C0700X","101YA0400X,1041C0700X",https://npiregistry.cms.hhs.gov/provider-view/1083063309
1356797328,"DOHERTY, DIANA",NM,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X","101YA0400X,171M00000X",101YA0400X,https://npiregistry.cms.hhs.gov/provider-view/1356797328
