npi,name,state,pecos_provider_type,pecos_codes,pecos_resolved_nucc,nppes_nucc,bh_codes_on_nppes,nppes_lookup_url
1013991405,PAMELA MILLER PHD PC,OR,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",103TC0700X,103TC0700X,https://npiregistry.cms.hhs.gov/provider-view/1013991405
1548316813,"GEMELLI, CASSANDRA",OR,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,101YM0800X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1548316813
1033538152,"SMITH, JOANNA",OR,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,101YM0800X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1033538152
1023292760,"ODOBASIC, STEPHANIE",OR,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,101YM0800X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1023292760
1750712527,"LAMAR, TINA",OR,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",101Y00000X,101Y00000X,https://npiregistry.cms.hhs.gov/provider-view/1750712527
1326385261,"HAMILTON, SERENA",OR,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X","101Y00000X,106H00000X","101Y00000X,106H00000X",https://npiregistry.cms.hhs.gov/provider-view/1326385261
1619441094,"NABER, KAMI",OR,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,101YM0800X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1619441094
1144606765,"HUTTON, HEIDI",OR,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,101YM0800X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1144606765
1669508412,SUNDSTROM CLINICAL SERVICES LLC,OR,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1669508412
1487028361,"LAMOREAUX, TALLON",OR,PRACTITIONER - NURSE PRACTITIONER,14-50,"363L00000X,363LA2100X,363LA2200X,363LC0200X,363LC1500X+13",101Y00000X,101Y00000X,https://npiregistry.cms.hhs.gov/provider-view/1487028361
1952725392,"BARNARD, KAREN",OR,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,101YM0800X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1952725392
1902372683,"HAWTHORNE, PAULETTE",OR,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,"101YA0400X,101YM0800X","101YA0400X,101YM0800X",https://npiregistry.cms.hhs.gov/provider-view/1902372683
1033453626,ANN MARTIN COUNSELING INC,OR,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",1041C0700X,1041C0700X,https://npiregistry.cms.hhs.gov/provider-view/1033453626
1356619522,"CADY, PAMELA",OR,PRACTITIONER - OTHER (NON-PHYSICIAN),14-88,,101YM0800X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1356619522
1194197640,"WHITE, NATASHA",OR,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,"103G00000X,103T00000X","103G00000X,103T00000X",https://npiregistry.cms.hhs.gov/provider-view/1194197640
1194814400,"SANCHEZ, THOMAS",OR,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,"101Y00000X,101YA0400X","101Y00000X,101YA0400X",https://npiregistry.cms.hhs.gov/provider-view/1194814400
1134267875,"BENTLEY, KATHERINE",OR,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,101YA0400X,101YA0400X,https://npiregistry.cms.hhs.gov/provider-view/1134267875
1942417829,"COHN, BRADLEY",OR,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,"101YM0800X,103TS0200X","101YM0800X,103TS0200X",https://npiregistry.cms.hhs.gov/provider-view/1942417829
1588153449,"KELLY, KIERSTEN",OR,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,101YM0800X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1588153449
1578923256,"VANOCKER, SARA",OR,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,101YM0800X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1578923256
1922474220,"MOTTWEILER, CANDICE",OR,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,101YM0800X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1922474220
1831495399,"HUSEBY, APRIL",OR,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,101YM0800X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1831495399
1114306818,"SCHULZ, AMY",OR,PRACTITIONER - OTHER (NON-PHYSICIAN),14-88,,101YM0800X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1114306818
1295106482,"PALENSKY, JODI",OR,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1295106482
1164654174,"REED, DELISA",OR,PRACTITIONER - MARRIAGE AND FAMILY THERAPIST,14-E1,106H00000X,101YM0800X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1164654174
1962636860,SCOTT CABOT WILLIS PHD PC,OR,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",103TC0700X,103TC0700X,https://npiregistry.cms.hhs.gov/provider-view/1962636860
1386059731,"KITE, MICHAEL",OR,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",101YA0400X,101YA0400X,https://npiregistry.cms.hhs.gov/provider-view/1386059731
1871922328,"HERNANDEZ, AMANDA",OR,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,"101YM0800X,103K00000X","101YM0800X,103K00000X",https://npiregistry.cms.hhs.gov/provider-view/1871922328
1669998266,LIFE BALANCE BEND LLC,OR,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",1041C0700X,1041C0700X,https://npiregistry.cms.hhs.gov/provider-view/1669998266
1578764239,"GARLAND-MOORE, JESSICA",OR,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",101Y00000X,101Y00000X,https://npiregistry.cms.hhs.gov/provider-view/1578764239
