npi,name,state,pecos_provider_type,pecos_codes,pecos_resolved_nucc,nppes_nucc,bh_codes_on_nppes,nppes_lookup_url
1518269463,"SHELDON C. LEVIN PH.D., LLC",SC,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",103G00000X,103G00000X,https://npiregistry.cms.hhs.gov/provider-view/1518269463
1417136573,"BARAKAT, NICOLE",SC,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,106H00000X,106H00000X,https://npiregistry.cms.hhs.gov/provider-view/1417136573
1124268172,"BEEBE, GRETCHEN",SC,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",101Y00000X,101Y00000X,https://npiregistry.cms.hhs.gov/provider-view/1124268172
1619918737,"NATALE, ERMINDO",SC,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,"103TC2200X,208000000X",103TC2200X,https://npiregistry.cms.hhs.gov/provider-view/1619918737
1952438376,MT.HEBRON PASTORAL COUNSELING SERVICE,SC,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X","101YP2500X,1041C0700X,106H00000X","101YP2500X,1041C0700X,106H00000X",https://npiregistry.cms.hhs.gov/provider-view/1952438376
1639139462,JH WYMER LLC,SC,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",103G00000X,103G00000X,https://npiregistry.cms.hhs.gov/provider-view/1639139462
1013056100,GREENVILLE THERAPY CENTER PA,SC,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X","103T00000X,1041C0700X,106H00000X","103T00000X,1041C0700X,106H00000X",https://npiregistry.cms.hhs.gov/provider-view/1013056100
1104316553,"CUNNINGHAM, LAURA",SC,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",101YA0400X,101YA0400X,https://npiregistry.cms.hhs.gov/provider-view/1104316553
1427595941,BRIGHT SIDE COUNSELING LLC,SC,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",101YP2500X,101YP2500X,https://npiregistry.cms.hhs.gov/provider-view/1427595941
1235614751,"WILLOW OAK COUNSELING AND BEHAVIORAL SERVICES, LLC.",SC,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",101YP2500X,101YP2500X,https://npiregistry.cms.hhs.gov/provider-view/1235614751
1508005455,"BENNETT, APRIL",SC,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1508005455
1255756565,WELLSPRING PSYCHOLOGY GROUP LLC,SC,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",103TC0700X,103TC0700X,https://npiregistry.cms.hhs.gov/provider-view/1255756565
1588766844,"HAREN, LYDIA",SC,PRACTITIONER - PSYCHIATRY,14-26,"2084P0301X,2084P0800X",103TA0400X,103TA0400X,https://npiregistry.cms.hhs.gov/provider-view/1588766844
1538197686,"HAMLIN SMITH, KASEY",SC,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,"103TC1900X,103TC2200X","103TC1900X,103TC2200X",https://npiregistry.cms.hhs.gov/provider-view/1538197686
1124510300,"HINSON, FRANKLIN",SC,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",101YA0400X,101YA0400X,https://npiregistry.cms.hhs.gov/provider-view/1124510300
1659334647,"PLUMLEY, CECIL",SC,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,101Y00000X,101Y00000X,https://npiregistry.cms.hhs.gov/provider-view/1659334647
1033505938,"CAROLINA CONCIERGE THERAPEUTICS, PLLC",SC,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X","103K00000X,225100000X,225X00000X,235Z00000X",103K00000X,https://npiregistry.cms.hhs.gov/provider-view/1033505938
1568722825,"SERRICCHIO, KELLY",SC,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,101YA0400X,101YA0400X,https://npiregistry.cms.hhs.gov/provider-view/1568722825
1700945268,"NOLL, SARAH",SC,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,"101YM0800X,104100000X",101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1700945268
1457678328,COASTAL PSYCHOTHERAPY AND CONSULTING INC,SC,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",1041C0700X,1041C0700X,https://npiregistry.cms.hhs.gov/provider-view/1457678328
1477921302,"SICILIANO, MARIAH",SC,PRACTITIONER - QUALIFIED SPEECH LANGUAGE PATHOLOGIST,14-15,235Z00000X,101Y00000X,101Y00000X,https://npiregistry.cms.hhs.gov/provider-view/1477921302
1982940391,"WARD, MARY",SC,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",101Y00000X,101Y00000X,https://npiregistry.cms.hhs.gov/provider-view/1982940391
1992082192,"ACEY, RAHJON",SC,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,101YM0800X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1992082192
1760532022,"MAUTZ CHARPIA, KIM",SC,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,"104100000X,106H00000X",106H00000X,https://npiregistry.cms.hhs.gov/provider-view/1760532022
