npi,name,state,pecos_provider_type,pecos_codes,pecos_resolved_nucc,nppes_nucc,bh_codes_on_nppes,nppes_lookup_url
1568770022,"BAILEY, JESSICA",WA,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,101YM0800X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1568770022
1912496035,ASCEND NETWORK CORP,WA,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X","101YM0800X,101YP2500X,2084P0800X","101YM0800X,101YP2500X",https://npiregistry.cms.hhs.gov/provider-view/1912496035
1972032449,"HOLMES, NACOLE",WA,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,101Y00000X,101Y00000X,https://npiregistry.cms.hhs.gov/provider-view/1972032449
1952646903,"EZZO, NATHAN",WA,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,101YM0800X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1952646903
1811468770,INNOVATIVE COUNSELING SERVICES LLC,WA,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",1041C0700X,1041C0700X,https://npiregistry.cms.hhs.gov/provider-view/1811468770
1619245917,"KRIESS, SARAH",WA,PRACTITIONER - PHYSICIAN ASSISTANT,14-97,"363A00000X,363AM0700X,363AS0400X",1041C0700X,1041C0700X,https://npiregistry.cms.hhs.gov/provider-view/1619245917
1083180079,"BAILEY, KRYSTEN",WA,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,101YM0800X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1083180079
1467544171,THERAPEUTIC HEALTH SERVICES,WA,PART B SUPPLIER - OPIOID TREATMENT PROGRAM (OTP),12-D5,261QR0405X,101YA0400X,101YA0400X,https://npiregistry.cms.hhs.gov/provider-view/1467544171
1295020816,"MUNGAI, JOSEPH",WA,PRACTITIONER - CLINICAL SOCIAL WORKER | PRACTITIONER - MENTAL HEALTH COUNSELOR,"14-80,14-E2","101YM0800X,101YP2500X,1041C0700X",1041S0200X,1041S0200X,https://npiregistry.cms.hhs.gov/provider-view/1295020816
1508376476,"RUTKIE, RACHEL",WA,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,101YM0800X,101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1508376476
1548649940,"SILAPAXAY, DESIREE",WA,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,103K00000X,103K00000X,https://npiregistry.cms.hhs.gov/provider-view/1548649940
1063802023,"MOHOLY, MAXWELL",WA,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1063802023
1194169367,"HALL, CHARLES",WA,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,"101Y00000X,101YM0800X","101Y00000X,101YM0800X",https://npiregistry.cms.hhs.gov/provider-view/1194169367
1891244976,"GJESVOLD, CHRISTINA",WA,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,"101YA0400X,101YM0800X","101YA0400X,101YM0800X",https://npiregistry.cms.hhs.gov/provider-view/1891244976
1215410089,"BITTON, JOSHUA",WA,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,"101YM0800X,104100000X",101YM0800X,https://npiregistry.cms.hhs.gov/provider-view/1215410089
1184938144,"STAGG, JOANNA",WA,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1184938144
1194201368,"SHEAHAN, MARK",WA,PRACTITIONER - MENTAL HEALTH COUNSELOR,14-E2,"101YM0800X,101YP2500X",101Y00000X,101Y00000X,https://npiregistry.cms.hhs.gov/provider-view/1194201368
1710489760,"ULLRICH, JENNIFER",WA,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,101YA0400X,101YA0400X,https://npiregistry.cms.hhs.gov/provider-view/1710489760
1083767495,"POWELL, RONALD",WA,PRACTITIONER - CLINICAL PSYCHOLOGIST,14-68,103TC0700X,103T00000X,103T00000X,https://npiregistry.cms.hhs.gov/provider-view/1083767495
1366503633,LIFESPAN PSYCHOLOGICAL SERVICES PS,WA,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",103TC0700X,103TC0700X,https://npiregistry.cms.hhs.gov/provider-view/1366503633
1790164291,KAREN M BUCKLEY LLC,WA,PART B SUPPLIER - CLINIC/GROUP PRACTICE,12-70,"193200000X,193400000X,261Q00000X,261QM1300X,261QP2000X",1041C0700X,1041C0700X,https://npiregistry.cms.hhs.gov/provider-view/1790164291
1770623514,"DUNBAR, MACDONALD",WA,PRACTITIONER - MARRIAGE AND FAMILY THERAPIST,14-E1,106H00000X,101Y00000X,101Y00000X,https://npiregistry.cms.hhs.gov/provider-view/1770623514
1508333071,"MICKEY, ALYSA",WA,PRACTITIONER - CLINICAL SOCIAL WORKER,14-80,1041C0700X,101Y00000X,101Y00000X,https://npiregistry.cms.hhs.gov/provider-view/1508333071
